symbol,pdf_url,suspension_date,reason
BCIC.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
FASW.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
FISH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
GGRP.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
LMSH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MFMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MTSM.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MYTX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
PLIN.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
RSGK.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
SMCB.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
SUPR.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
WICO.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
AKKU.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
ALTO.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
BEBS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
PMMP.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
PTDU.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
RAFI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
SQMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
SWAT.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
TGRA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
TGUK.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
ZBRA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/4b4003e991_a32aefd678.pdf,,Belum menyampaikan laporan keuangan interim per 31 maret 2025 dan/atau belum melakukan pembayaran denda atas keterlambatan penyampaian laporan keuangan tersebut
BEBS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/a2ca2e3b0e_d70251fbac.pdf,,Belum menyampaikan laporan keuangan auditan tahunan
TGRA.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/a2ca2e3b0e_d70251fbac.pdf,,Belum menyampaikan laporan keuangan auditan tahunan
